DATE,PERSON_NUMBER
2022-03-25 13:00:00,3
2022-03-25 14:10:00,2
2022-03-25 14:24:00,1
2022-03-25 14:34:00,2
2022-03-25 14:38:00,1
2022-03-25 14:41:00,2
2022-03-25 14:54:00,3
2022-03-25 16:12:00,2
2022-03-25 16:21:00,3
2022-03-25 16:21:00,2
2022-03-25 16:21:00,3
2022-03-25 17:26:00,2
2022-03-25 17:29:00,3
2022-03-25 18:19:00,2
2022-03-25 18:22:00,3
2022-03-25 18:28:00,2
2022-03-25 18:28:00,1
2022-03-25 18:49:00,2
2022-03-25 18:49:00,1
2022-03-25 18:49:00,2
2022-03-25 20:09:00,1
2022-03-25 23:27:00,0
2022-03-26 09:31:00,1
2022-03-26 09:36:00,0
2022-03-26 09:38:00,1
2022-03-26 10:07:00,0
2022-03-26 10:53:00,1
2022-03-26 12:11:00,0
2022-03-26 12:13:00,1
2022-03-26 12:41:00,0
2022-03-26 13:11:00,1
2022-03-26 13:46:00,2
2022-03-26 14:06:00,3
2022-03-26 15:39:00,2
2022-03-26 15:42:00,3
2022-03-26 15:44:00,2
2022-03-26 15:47:00,3
2022-03-26 16:27:00,2
2022-03-26 16:30:00,3
2022-03-26 16:52:00,2
2022-03-26 17:00:00,3
2022-03-26 17:15:00,2
2022-03-26 17:17:00,3
2022-03-26 17:36:00,2
2022-03-26 17:36:00,1
2022-03-26 17:36:00,0
2022-03-26 17:53:00,1
2022-03-26 17:53:00,2
2022-03-26 18:23:00,1
2022-03-26 18:23:00,0
2022-03-26 18:26:00,1
2022-03-26 18:26:00,2
2022-03-26 18:28:00,1
2022-03-26 18:32:00,2
2022-03-26 19:36:00,1
2022-03-26 19:39:00,2
2022-03-26 21:02:00,1
2022-03-26 21:13:00,2
2022-03-26 21:59:00,1
2022-03-26 22:02:00,2
2022-03-26 22:27:00,1
2022-03-26 23:03:00,0
2022-03-27 11:07:00,1
2022-03-27 11:25:00,0
2022-03-27 11:28:00,1
2022-03-27 11:48:00,0
2022-03-27 11:58:00,1
2022-03-27 12:13:00,0
2022-03-27 12:15:00,1
2022-03-27 12:40:00,0
2022-03-27 12:41:00,1
2022-03-27 13:47:00,0
2022-03-27 13:49:00,1
2022-03-27 14:13:00,0
2022-03-27 14:15:00,1
2022-03-27 15:01:00,0
2022-03-27 15:03:00,1
2022-03-27 15:28:00,0
2022-03-27 16:03:00,1
2022-03-27 16:17:00,0
2022-03-27 16:19:00,1
