Real,Pred
29.639999999999997,21.716087
29.579999999999995,21.82439
29.559999999999995,22.006027
29.65999999999999,22.288233
29.499999999999993,22.689144
29.3,23.183651
29.1,23.708488
29.0,24.218166
28.779999999999994,24.688627
28.899999999999995,25.072916
28.839999999999996,25.329895
29.019999999999992,25.46574
28.93999999999999,25.545696
28.72,25.612679
28.659999999999997,25.671827
28.48,25.734926
28.539999999999992,25.795244
28.380000000000003,25.868475
28.639999999999997,25.932411
28.339999999999993,25.997313
28.339999999999996,26.063051
28.059999999999995,26.126932
28.059999999999995,26.165897
28.019999999999992,26.161156
27.899999999999995,26.130514
28.139999999999993,26.078705
28.21999999999999,26.006145
28.399999999999995,25.908693
27.939999999999998,25.79891
28.059999999999995,25.692356
28.039999999999992,25.593296
27.919999999999998,25.502832
27.859999999999996,25.406279
27.919999999999998,25.32092
27.959999999999997,25.233047
27.919999999999998,25.151031
27.779999999999994,25.090816
27.559999999999995,25.06858
27.759999999999998,25.085398
27.639999999999997,25.106213
27.52,25.139498
27.659999999999997,25.192978
27.6,25.268997
27.559999999999995,25.359673
27.479999999999997,25.461737
27.459999999999997,25.549755
27.399999999999995,25.621191
27.359999999999996,25.67478
27.139999999999997,25.67048
27.059999999999995,25.640749
26.879999999999995,25.596495
26.659999999999997,25.525723
26.459999999999997,25.443342
26.619999999999994,25.351
26.499999999999993,25.273157
26.579999999999995,25.209112
26.459999999999997,25.156246
26.439999999999998,25.11295
26.679999999999996,25.117214
26.759999999999998,25.144997
26.819999999999993,25.170382
26.619999999999997,25.207579
26.659999999999997,25.27784
26.599999999999994,25.368366
26.879999999999995,25.453611
26.799999999999994,25.538544
26.879999999999995,25.626938
27.139999999999997,25.716318
26.859999999999996,25.81322
26.93999999999999,25.920305
27.139999999999997,26.041824
27.279999999999994,26.16042
27.199999999999996,26.266382
26.999999999999993,26.354551
26.859999999999996,26.424631
26.779999999999994,26.482103
26.74,26.528196
26.479999999999997,26.535341
26.859999999999996,26.507208
27.02,26.454712
27.04,26.383104
27.579999999999995,26.299662
27.819999999999993,26.191612
27.959999999999997,26.058279
28.059999999999995,25.903387
28.04,25.743114
28.259999999999998,25.582912
28.439999999999998,25.455013
28.359999999999996,25.351248
28.259999999999998,25.267672
28.559999999999995,25.217062
28.339999999999996,25.217318
28.339999999999996,25.22675
28.479999999999997,25.243559
28.139999999999993,25.262527
28.32,25.292486
28.159999999999997,25.342398
28.439999999999998,25.414467
28.579999999999995,25.494314
28.819999999999993,25.563559
28.659999999999997,25.60134
28.679999999999996,25.58822
28.579999999999995,25.582003
28.319999999999993,25.59862
28.779999999999994,25.634163
28.559999999999995,25.656046
28.74,25.689707
28.479999999999997,25.72944
28.399999999999995,25.799679
28.419999999999998,25.91173
28.599999999999994,26.050941
28.559999999999995,26.209404
28.919999999999995,26.366222
29.32,26.525663
29.32,26.69536
29.6,26.856014
29.8,26.966808
29.899999999999995,27.028921
30.24,27.04122
29.979999999999997,27.01747
29.839999999999996,26.966427
29.999999999999993,26.892733
30.139999999999997,26.789747
30.02,26.659994
29.979999999999997,26.508669
30.059999999999995,26.337355
30.04,26.172827
30.199999999999996,26.030788
29.919999999999995,25.910677
30.21999999999999,25.78572
30.3,25.655071
30.119999999999994,25.514112
30.02,25.40055
30.179999999999996,25.310034
30.339999999999996,25.24484
30.499999999999993,25.224117
30.419999999999995,25.225851
30.179999999999996,25.256186
30.259999999999998,25.30271
30.24,25.367672
30.059999999999995,25.444454
30.04,25.509283
30.139999999999993,25.564487
29.73999999999999,25.614801
29.52,25.62515
29.419999999999995,25.617592
29.259999999999998,25.612627
29.32,25.564436
29.099999999999994,25.461824
28.9,25.330198
28.74,25.195023
28.759999999999998,25.107016
28.459999999999997,25.043756
28.699999999999996,24.970728
28.799999999999994,24.928278
28.759999999999998,24.910538
28.639999999999993,24.901428
28.619999999999994,24.908268
28.619999999999997,24.954678
28.52,25.026978
28.82,25.083967
28.839999999999996,25.140558
28.73999999999999,25.204775
28.759999999999998,25.30196
28.639999999999993,25.392616
28.43999999999999,25.479155
28.679999999999996,25.56827
28.559999999999995,25.659798
28.579999999999995,25.747782
28.65999999999999,25.85404
28.479999999999997,25.975538
28.579999999999995,26.068626
28.479999999999997,26.130318
28.139999999999997,26.169394
